name,league,club,country,position,price,rating,base_stats,total_stats,popularity,weight,height,pace,shooting,dribling,defending,physicality,weak_foot,skills,card_type
Pelé,Icons,FUT 21 ICONS,Brazil,CF,0 ,99,527,2562,1360,70,173,97,98,95,98,61,4,5,Icon Moment
Pelé,Icons,FUT 21 ICONS,Brazil,CAM,7.9M ,98,516,2513,1002,70,173,95,96,93,96,60,4,5,Icon
Cristiano Ronaldo,Serie A TIM,Piemonte Calcio,Portugal,ST,7.72M ,98,511,2465,7164,83,187,96,98,89,96,44,4,5,TOTY
Robert Lewandowski,Bundesliga,FC Bayern,Poland,ST,1.84M ,98,517,2500,7728,80,184,91,98,88,94,52,4,4,TOTY
Lionel Messi,LaLiga Santander,FC Barcelona,Argentina,RW,3.89M ,98,503,2449,5223,72,170,93,98,97,99,43,4,4,TOTY
Diego Maradona,Icons,FUT 21 ICONS,Argentina,CAM,7.85M ,98,502,2463,1089,70,165,94,95,93,98,43,3,5,Icon Moment
Diego Maradona,Icons,FUT 21 ICONS,Argentina,CAM,4.21M ,97,490,2392,3256,70,165,92,93,92,97,40,3,5,Icon
Kylian Mbappé,Ligue 1 Conforama,Paris SG,France,ST,6.57M ,97,519,2464,-6818,73,178,99,96,89,98,50,4,5,TOTY
Bruno Fernandes,Premier League,Manchester Utd,Portugal,CAM,3.55M ,97,551,2671,1806,69,179,90,97,98,97,82,4,4,TOTY
Ronaldo,Icons,FUT 21 ICONS,Brazil,ST,0 ,97,500,2411,2692,82,183,98,97,83,97,46,5,5,Icon Moment
Zinedine Zidane,Icons,FUT 21 ICONS,France,CAM,0 ,97,540,2621,459,77,185,87,94,97,97,77,5,5,Icon Moment
Zinedine Zidane,Icons,FUT 21 ICONS,France,CAM,4.79M ,96,529,2548,353,77,185,85,92,96,95,75,5,5,Icon
Ronaldo,Icons,FUT 21 ICONS,Brazil,ST,13.5M ,96,489,2341,1830,78,183,97,95,81,95,45,5,5,Icon
Kevin De Bruyne,Premier League,Manchester City,Belgium,CAM,1.75M ,96,533,2556,212,70,181,84,94,98,94,75,5,4,TOTY
Joshua Kimmich,Bundesliga,FC Bayern,Germany,CDM,1.69M ,96,547,2635,5414,73,176,85,86,96,94,94,4,3,TOTY
Sergio Ramos,LaLiga Santander,Real Madrid,Spain,CB,1.62M ,96,526,2589,3093,82,184,83,79,87,87,96,3,3,TOTY
Manuel Neuer,Bundesliga,FC Bayern,Germany,GK,449K ,96,545,1169,3023,92,193,95,94,98,96,68,4,1,TOTY
Virgil van Dijk,Premier League,Liverpool,Netherlands,CB,2.27M ,96,516,2446,754,92,193,85,70,88,82,97,3,2,TOTY
Lionel Messi,LaLiga Santander,FC Barcelona,Argentina,CF,1.64M ,96,490,2384,3489,72,170,90,96,95,98,41,4,4,LaLiga POTM SBC
Pelé,Icons,FUT 21 ICONS,Brazil,CF,5.96M ,95,505,2452,837,69,173,96,93,90,95,56,4,5,Icon
Diego Maradona,Icons,FUT 21 ICONS,Argentina,CAM,2.03M ,95,481,2357,2851,72,165,88,91,90,95,42,3,5,Icon
Lionel Messi,LaLiga Santander,FC Barcelona,Argentina,CF,1.32M ,95,482,2348,1732,72,170,88,95,94,97,40,4,4,TOTGS
Ferenc Puskás,Icons,FUT 21 ICONS,Hungary,ST,5.15M ,95,508,2476,1739,75,172,93,99,92,95,49,3,4,Icon Moment
Johan Cruyff,Icons,FUT 21 ICONS,Netherlands,CF,14.15M ,95,496,2420,797,71,180,92,95,92,96,45,5,5,Icon Moment
Cristiano Ronaldo,Serie A TIM,Piemonte Calcio,Portugal,ST,4.55M ,95,488,2376,4008,83,187,92,96,87,93,38,4,5,TIF
Lev Yashin,Icons,FUT 21 ICONS,Russia,GK,1.19M ,95,524,1341,352,82,189,97,92,79,98,62,3,1,Icon Moment
Ronaldinho,Icons,FUT 21 ICONS,Brazil,CAM,0 ,95,501,2398,1166,78,180,95,95,92,97,39,4,5,Icon Moment
Paolo Maldini,Icons,FUT 21 ICONS,Italy,CB,14M ,95,478,2200,712,83,186,88,57,77,71,98,4,2,Icon Moment
Garrincha,Icons,FUT 21 ICONS,Brazil,RW,10.2M ,95,494,2396,299,72,169,92,91,95,98,44,4,5,Icon Moment
Ronaldinho,Icons,FUT 21 ICONS,Brazil,LW,6.35M ,94,486,2328,915,78,180,92,90,91,95,37,4,5,Icon
